"country","incomeperperson.x","internetuserate.x","urbanrate.x","Population..2020.","Yearly.Change","Net.Change","Density..P.Km².","Land.Area..Km².","Migrants..net.","Fert..Rate","Med..Age","Urban.Pop..","World.Share","incomeperperson.y","internetuserate.y","urbanrate.y","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","incomeperperson","internetuserate","urbanrate","Country.Code","Year","Value"
"Czech Rep.",7381.312751,68.63813347,73.5,10712481,"0.18 %",19772,139,77240,22011,"1.6","43","74 %","0.14 %",7381.312751,68.63813347,73.5,20,6.852,1.269,1.487,0.92,0.457,0.046,0.036,7381.312751,68.63813347,73.5,"CZE",2016,195305084919.138
"Denmark",30532.27704,88.77025387,86.68,5795780,"0.35 %",20326,137,42430,15200,"1.8","42","88 %","0.07 %",30532.27704,88.77025387,86.68,2,7.6,1.383,1.573,0.996,0.592,0.252,0.41,30532.27704,88.77025387,86.68,"DNK",2016,306899653409.601
"Dominican Rep.",4049.169629,39.53127426,69.02,10866667,"1.01 %",108952,225,48320,-30000,"2.4","28","85 %","0.14 %",4049.169629,39.53127426,69.02,77,5.425,1.015,1.401,0.779,0.497,0.113,0.101,4049.169629,39.53127426,69.02,"DOM",2016,71583553487.5646
"Ecuador",1728.020976,28.99947674,65.58,17688599,"1.55 %",269392,71,248360,36400,"2.4","28","63 %","0.23 %",1728.020976,28.99947674,65.58,50,6.028,0.912,1.312,0.868,0.498,0.126,0.087,1728.020976,28.99947674,65.58,"ECU",2016,98613972000
"El Salvador",2557.433638,15.89998203,60.7,6491923,"0.51 %",32652,313,20720,-40539,"2.1","28","73 %","0.08 %",2557.433638,15.89998203,60.7,35,6.253,0.794,1.242,0.789,0.43,0.093,0.074,2557.433638,15.89998203,60.7,"SLV",2016,26797470000
"Estonia",6238.537506,74.1630403,69.46,1326693,"0.07 %",887,31,42390,3911,"1.6","42","68 %","0.02 %",6238.537506,74.1630403,69.46,55,5.893,1.237,1.528,0.874,0.495,0.103,0.161,6238.537506,74.1630403,69.46,"EST",2016,23337907618.5174
"Ethiopia",220.8912479,0.74999585,17,115434444,"2.57 %",2884858,115,1000000,30000,"4.3","19","21 %","1.47 %",220.8912479,0.74999585,17,134,4.286,0.336,1.033,0.532,0.344,0.209,0.1,220.8912479,0.74999585,17,"ETH",2016,72374224249.3997
"Finland",27110.73159,86.89884451,63.3,5542237,"0.15 %",8564,18,303890,14000,"1.5","43","86 %","0.07 %",27110.73159,86.89884451,63.3,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393,27110.73159,86.89884451,63.3,"FIN",2016,238502900311.9
"France",22878.46657,77.49861935,77.36,65298930,"0.22 %",143783,119,547557,36527,"1.9","42","82 %","0.84 %",22878.46657,77.49861935,77.36,24,6.592,1.324,1.472,1.045,0.436,0.111,0.183,22878.46657,77.49861935,77.36,"FRA",2016,2465453975282.24
"Gabon",4180.765821,7.232224246,85.04,2234448,"2.45 %",53155,9,257670,3260,"4.0","23","87 %","0.03 %",4180.765821,7.232224246,85.04,104,4.799,1.057,1.183,0.571,0.295,0.043,0.055,4180.765821,7.232224246,85.04,"GAB",2016,14213558130.1817
"Gambia",354.5997263,9.196775477,56.42,2427782,"2.94 %",68962,239,10120,-3087,"5.3","18","59 %","0.03 %",354.5997263,9.196775477,56.42,120,4.516,0.308,0.939,0.428,0.382,0.269,0.167,354.5997263,9.196775477,56.42,"GMB",2016,964599178.129102
"Georgia",1258.762596,26.29725148,52.74,3987805,"-0.19 %",-7598,57,69490,-10000,"2.1","38","58 %","0.05 %",1258.762596,26.29725148,52.74,119,4.519,0.886,0.666,0.752,0.346,0.043,0.164,1258.762596,26.29725148,52.74,"GEO",2016,14378016729.1587
